year,month,ym,sido_name,pm25_mean,pm10_mean,pm25_p90,pm10_p90,pm25_alert_days,pm10_alert_days
2019,1,2019-01,경남,20.744086021505385,46.732258064516124,37.5,70.36666666666666,4.0,0.0
2019,2,2019-02,경남,22.059523809523807,47.28095238095238,33.76,66.23333333333333,2.0,0.0
2019,3,2019-03,경남,22.96666666666667,48.47096774193549,43.333333333333336,76.46666666666667,5.0,0.0
2019,4,2019-04,경남,15.358888888888888,38.51555555555556,24.12,56.13333333333334,0.0,0.0
2019,5,2019-05,경남,20.475268817204302,45.89569892473118,29.333333333333332,63.833333333333336,1.0,0.0
2019,6,2019-06,경남,19.714444444444446,35.29888888888889,31.480000000000004,53.900000000000006,2.0,0.0
2019,7,2019-07,경남,13.566666666666666,24.815053763440865,25.166666666666668,41.166666666666664,0.0,0.0
2019,8,2019-08,경남,16.15268817204301,27.549462365591392,24.166666666666668,36.9,0.0,0.0
2019,9,2019-09,경남,11.439999999999998,23.905555555555555,17.95,31.5,0.0,0.0
2019,10,2019-10,경남,11.32043010752688,28.568817204301066,14.533333333333333,36.666666666666664,0.0,0.0
2019,11,2019-11,경남,16.209259259259262,35.392592592592585,23.39444444444445,45.4638888888889,0.0,0.0
2019,12,2019-12,경남,20.359318996415773,32.31541218637992,33.166666666666664,44.77777777777778,1.0,0.0
2020,1,2020-01,경남,19.51075268817204,29.103046594982082,30.333333333333332,43.52777777777778,2.0,0.0
2020,2,2020-02,경남,20.79464285714286,32.54761904761905,37.291666666666664,53.65833333333333,4.0,0.0
2020,3,2020-03,경남,15.721326164874553,31.213261648745522,22.88888888888889,42.94444444444444,0.0,0.0
2020,4,2020-04,경남,14.988888888888885,32.475,19.65277777777778,42.177777777777784,0.0,0.0
2020,5,2020-05,경남,16.406810035842295,30.927419354838708,21.88888888888889,38.333333333333336,0.0,0.0
2020,6,2020-06,경남,16.020370370370372,28.233333333333334,23.994444444444447,40.7,0.0,0.0
2020,7,2020-07,경남,10.545698924731182,19.199820788530467,16.444444444444443,28.11111111111111,0.0,0.0
2020,8,2020-08,경남,15.54141238012206,27.54315605928509,27.864864864864863,40.91891891891892,0.0,0.0
2020,9,2020-09,경남,11.565765765765764,21.098198198198197,20.335135135135136,31.705405405405408,0.0,0.0
2020,10,2020-10,경남,13.77070619006103,26.610287707061907,18.27027027027027,35.45945945945946,1.0,0.0
2020,11,2020-11,경남,16.346846846846848,28.959459459459463,24.397297297297303,41.05675675675676,0.0,0.0
